"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12829","Handle dialog or alerts","chromium","Wed Dec 11 12:16:17 IST 2024","passed","Wed Dec 11 12:16:30 IST 2024","","HandleDialogsAlerts.spec.js","",""
"","9455","ADD to Cart","chromium","Wed Dec 11 12:16:59 IST 2024","passed","Wed Dec 11 12:17:09 IST 2024","","Hooks.spec.js","",""
"","37224","Upload file 3","chromium","Wed Dec 11 12:16:43 IST 2024","broken","Wed Dec 11 12:17:20 IST 2024","Data-driven file upload","DataDrivenTest3.spec.js","",""
"","784","get Users","chromium","Wed Dec 11 12:14:57 IST 2024","passed","Wed Dec 11 12:14:58 IST 2024","","ApiTest.spec.js","",""
"","567","test2@sanity","chromium","Wed Dec 11 12:18:45 IST 2024","passed","Wed Dec 11 12:18:46 IST 2024","","Tagging.spec.js","",""
"","1175","test 1","chromium","Wed Dec 11 12:14:55 IST 2024","passed","Wed Dec 11 12:14:56 IST 2024","","Annotation.spec.js","",""
"","465","Test 2","chromium","Wed Dec 11 12:15:51 IST 2024","passed","Wed Dec 11 12:15:52 IST 2024","group 1","Grouping.spec.js","",""
"","7486","Handling frames","chromium","Wed Dec 11 12:16:44 IST 2024","passed","Wed Dec 11 12:16:52 IST 2024","","HandlingFrames.spec.js","",""
"","9636","MouseDoubleClick","chromium","Wed Dec 11 12:17:45 IST 2024","passed","Wed Dec 11 12:17:55 IST 2024","","MouseDoubleClick.spec.js","",""
"","11077","Build-inlocators","chromium","Wed Dec 11 12:17:45 IST 2024","passed","Wed Dec 11 12:17:56 IST 2024","","LocatingWebElement.spec.js","",""
"","8001","Login page","chromium","Wed Dec 11 12:17:34 IST 2024","passed","Wed Dec 11 12:17:42 IST 2024","","Locaters.spec.js","",""
"","4438","LocatingMultipleElement","chromium","Wed Dec 11 12:17:37 IST 2024","passed","Wed Dec 11 12:17:41 IST 2024","","LocatingMultipleElement.spec.js","",""
"","5708","signin with user id : 8","chromium","Wed Dec 11 12:15:37 IST 2024","passed","Wed Dec 11 12:15:43 IST 2024","test data driven ","DataDrivenTest2.spec.js","",""
"","7136","ScreenShort","chromium","Wed Dec 11 12:15:00 IST 2024","passed","Wed Dec 11 12:15:07 IST 2024","","Annotation.spec.js","",""
"","14662","handle check boxes","chromium","Wed Dec 11 12:15:51 IST 2024","passed","Wed Dec 11 12:16:06 IST 2024","","HandleCheckboxes.spec.js","",""
"","5290","Handle Dropdown","chromium","Wed Dec 11 12:16:07 IST 2024","passed","Wed Dec 11 12:16:12 IST 2024","","HandleDropdown.spec.js","",""
"","444","test5@sanity@reg","chromium","Wed Dec 11 12:18:47 IST 2024","passed","Wed Dec 11 12:18:47 IST 2024","","Tagging.spec.js","",""
"","35048","Upload file 2","chromium","Wed Dec 11 12:16:00 IST 2024","broken","Wed Dec 11 12:16:35 IST 2024","Data-driven file upload","DataDrivenTest3.spec.js","",""
"","7396","handle radio button","chromium","Wed Dec 11 12:16:38 IST 2024","passed","Wed Dec 11 12:16:46 IST 2024","","HandleRadioButton.spec.js","",""
"","563","test3@reg","chromium","Wed Dec 11 12:18:46 IST 2024","passed","Wed Dec 11 12:18:46 IST 2024","","Tagging.spec.js","",""
"","540","Test 3","chromium","Wed Dec 11 12:15:52 IST 2024","passed","Wed Dec 11 12:15:52 IST 2024","Group 2","Grouping.spec.js","",""
"","4823","Login with user ID: 7","chromium","Wed Dec 11 12:15:32 IST 2024","passed","Wed Dec 11 12:15:37 IST 2024","Data Driven Login Page","DataDrivenTest.spec.js","",""
